"","NAME","COURT","JUDICIAL POSITION","COURT ADDRESS","SIGNED DATE","EXCESS EXPENSE REIMBURSEMENT INSTANCE","EXCESS EXPENSE REIMBURSEMENT SOURCE","EXCESS EXPENSE REIMBURSEMENT AMOUNT"
"1","RALPH D. GANTS","SUPREME JUDICIAL COURT","ASSOC. JUSTICE","ONE PEMBERTON SQ. BOSTON, MA 02108-1750","2010-04-11",NA,NA,NA
"2","ROBERT J. CORDY","SUPREME JUDICIAL COURT","ASSOC. JUSTICE","ONE PEMBERTON SQ. BOSTON, MA 02108-1750","2010-04-12",NA,NA,NA
"3","MARGARET H. MARSHALL","SUPREME JUDICIAL COURT","CHIEF JUSTICE","ONE PEMBERTON SQ. BOSTON, MA 02108-1750","2010-03-09",NA,NA,NA
"4","RODERICK IRELAND","SUPREME JUDICIAL COURT","CHIEF JUSTICE","JOHNADAMS COURTHOUSE SUITE 2500 ONE PEMBERTON SQ BOSTON MA 02108","2010-04-13",NA,NA,NA
"5","JANICE M. BENNY","MASS APPEALS COURT","ASSOC. JUSTICE","ONE PEMBERTON SQ. BOSTON, MA 02108-1750","2010-04-08",NA,NA,NA
"6","FREDERICK L. BROWN","MASS APPEALS COURT","ASSOC. JUSTICE","ONE PEMBERTON SQ. BOSTON, MA 02108-1750","2010-04-03",NA,NA,NA
"7","CYNTHIA J. COHEN","MASS APPEALS COURT","ASSOC. JUSTICE","ONE PEMBERTON SQ. BOSTON, MA 02108-1750","2010-02-20",NA,NA,NA
"8","ROYA S. DREBEN","MASS APPEALS COURT","ASSOC. JUSTICE","ONE PEMBERTON SQ. BOSTON, MA 02108-1750","2010-03-19",NA,NA,NA
"9","FRANCIS R. FECTEAU","MASS APPEALS COURT","ASSOC. JUSTICE","ONE PEMBERTON SQ. BOSTON, MA 02108-1750","2010-02-15",NA,NA,NA
"10","HOU. AUDRE A. GELCUAS","MASS APPEALS COURT","ASSOC. JUSTICE","ONE PEMBERTON SQ. BOSTON, MA 02108-1750","2009-04-30",NA,NA,NA
"11","ANDREW GRAINGER","MASS APPEALS COURT","ASSOC. JUSTICE","ONE PEMBERTON SQ. BOSTON, MA 02108-1750","2010-02-01",NA,NA,NA
"12","JOSEPH A. GRASSO, JR.","MASS APPEALS COURT","JUSTICE","ONE PEMBERTON SQ. BOSTON, MA 02108-1752","2010-03-01",NA,NA,NA
"13","MARK V. GREEN","MASS APPEALS COURT","ASSOC. JUSTICE","ONE PEMBERTON SQ. BOSTON, MA 02108-1750","2010-02-01",NA,NA,NA
"14","SYDNEY HANLON","MASS APPEALS COURT","ASSOC. JUSTICE","ONE PEMBERTON SQ. BOSTON, MA 02108-1752","2010-04-14",NA,NA,NA
"15","SCOTT L. KATKER","MASS APPEALS COURT","ASSOC. JUSTICE","ONE PEMBERTON SQ. BOSTON, MA 02108-1752","2010-03-03",NA,NA,NA
"16","R. MARC KANTROWITZ","MASS APPEALS COURT","ASSOC. JUSTICE","ONE PEMBERTON SQ. BOSTON, MA 02108-1750","2010-03-06",NA,NA,NA
"17","BARBARA A. LENK","MASS APPEALS COURT","ASSOC. JUSTICE","ONE PEMBERTON SQ. BOSTON, MA 02108-1750","2010-04-13",NA,NA,NA
"18","JAMES F. MCHUGH","MASS APPEALS COURT","ASSOC. JUSTICE","ONE PEMBERTON SQ. BOSTON, MA 02108-1750","2010-04-12",NA,NA,NA
"19","PHILLIP RAPOZA","MASS APPEALS COURT","CHIEF JUSTICE","ONE PEMBERTON SQ. BOSTON, MA 02108-1751","2010-04-15",NA,NA,NA
"20","PETER J. RUBIN","MASS APPEALS COURT","ASSOC. JUSTICE","ONE PEMBERTON SQ. BOSTON, MA 02108-1750","2010-04-15",NA,NA,NA
"21","MITCHELL J. SIKORA, JR.","MASS APPEALS COURT","ASSOC. JUSTICE","ONE PEMBERTON SQ. BOSTON, MA 02108-1750","2010-03-28",NA,NA,NA
"22","RENT B. SMITH","MASS APPEALS COURT","ASSOC. JUSTICE","ONE PEMBERTON SQ. BOSTON, MA 02108-1750","2010-02-05",NA,NA,NA
