,NAME,COURT,JUDICIAL POSITION,COURT ADDRESS,SIGNED DATE,TOTAL AMOUNT RECEIVED (IN DOLLARS),EXTRA-JUDICIAL SERVICES DATE,PLACE,EXTRA-JUDICIAL SERVICES NATURE,EXTRA-JUDICIAL SERVICES PAYOR, AMOUNT,year
1,MARGOT BOTSFORD,SUPREME JUDICIAL COURT,ASSOCIATE JUSTICE,ONE PEMBERTON SQUARE,FEB/13/2015,NA,NA,NA,NA,NA,NA,2014
2,ROBERT CORDN,SUPREME JUDICIAL COURT,JUSTICE,ONE PEMBERTON SQUARE,MAR/24/2015,50700,2014,NEW ENGLAND LAW SCHOOL / BOSTON,TEACHING,NEW ENGLAND LAW SCHOOL / BOSTON,45000,2014
3,ROBERT CORDN,SUPREME JUDICIAL COURT,JUSTICE,ONE PEMBERTON SQUARE,MAR/24/2015,NA,2014,BOSTON/SLOVENIA,ADVISOR BOARD SERVICE,REGIONAL DCAGE (NGO - USAID FUNDED),5700,2014
4,FERNANDE RV DUFFLY,SUPREME JUDICIAL COURT,ASSOCIATE JUSTICE,ONE PEMBERTON SQUARE,MAR/03/2015,NA,NA,NA,NA,NA,NA,2014
5,RALPH D. GRANT,SUPREME JUDICIAL COURT,CHIEF JUSTICE,ONE PEMBERTON SQUARE,MAR/27/2015,NA,NA,NA,NA,NA,NA,2014
6,RALPH D. GRANT,SUPREME JUDICIAL COURT,CHIEF JUSTICE,ONE PEMBERTON SQUARE,MAR/27/2015,NA,NA,NA,NA,NA,NA,2014
7,GERALDINE S. HINES,SUPREME JUDICIAL COURT,ASSOCIATE JUSTICE,ONE PEMBERTON SQUARE,MAR/27/2015,NA,NA,NA,NA,NA,NA,2014
8,RODERICK L. IRELAND,SUPREME JUDICIAL COURT,CHIEF JUSTICE,ONE PEMBERTON SQUARE,FEB/01/2015,17153.1,01/01/2014 - 07/25/2014,NORTHEASTERN UNIV.,LECTURER,NORTHEASTERN UNIV.,13400,2014
9,RODERICK L. IRELAND,SUPREME JUDICIAL COURT,CHIEF JUSTICE,ONE PEMBERTON SQUARE,FEB/01/2015,NA,FOR ALL OF 2014,"BOSTON, MA",AUTHOR,THOMSON-WEST PUBLISHER,3753.1,2014
10,BARBARA A. LENN,SUPREME JUDICIAL COURT,ASSOCIATE JUSTICE,ONE PEMBERTON SQUARE,APR/14/2015,NA,NA,NA,NA,NA,NA,2014
11,FRANCIS X. SPINA,SUPREME JUDICIAL COURT,ASSOCIATE JUSTICE,ONE PEMBERTON SQUARE,FEB/02/2015,NA,NA,NA,NA,NA,NA,2014
12,PETER W. AGNES JR.,MASS APPEALS COURT,ASSOCIATE JUSTICE,ONE PEMBERTON SQUARE,MAR/10/2015,6500,JAN - MAY 2014,MASS SCHOOL OF LAW,TEACHING,MASS SCHOOL OF LAW,6500,2014
13,JANICE M. BENNY,MASS APPEALS COURT,ASSOCIATE JUSTICE,ONE PEMBERTON SQUARE,APR/14/2015,5600,SPRING 2014,SUFFOLK LAW SCHOOL,TEACHING,SUFFOLK LAW SCHOOL,5600,2014
14,JANICE M. BENNY,MASS APPEALS COURT,ASSOCIATE JUSTICE,ONE PEMBERTON SQUARE,APR/14/2015,NA,NA,NA,NA,NA,NA,2014
15,JANICE M. BENNY,MASS APPEALS COURT,ASSOCIATE JUSTICE,ONE PEMBERTON SQUARE,APR/14/2015,NA,NA,NA,NA,NA,NA,2014
16,JANICE M. BENNY,MASS APPEALS COURT,ASSOCIATE JUSTICE,ONE PEMBERTON SQUARE,APR/14/2015,NA,NA,NA,NA,NA,NA,2014
17,JANICE M. BENNY,MASS APPEALS COURT,ASSOCIATE JUSTICE,ONE PEMBERTON SQUARE,APR/14/2015,NA,NA,NA,NA,NA,NA,2014
18,AMY LYN BLAKE,MASS APPEALS COURT,ASSOCIATE JUSTICE,ONE PEMBERTON SQUARE,FEB/04/2015,NA,NA,NA,NA,NA,NA,2014
19,FREDERICK L. BROWN,MASS APPEALS COURT,ASSOCIATE JUSTICE,ONE PEMBERTON SQUARE,APR/13/2015,NA,NA,NA,NA,NA,NA,2014
20,FREDERICK L. BROWN,MASS APPEALS COURT,ASSOCIATE JUSTICE,ONE PEMBERTON SQUARE,APR/13/2015,NA,NA,NA,NA,NA,NA,2014
21,JUDD J. CARHART,MASS APPEALS COURT,JUDGE,ONE PEMBERTON SQUARE,MAR/17/2015,13658.84,2014,UNIV. OF MASS,ADJUNCT PROFESSOR,UNIV. OF MASS,13658.84,2014
22,CYNTHIA J. COHEN,MASS APPEALS COURT,ASSOCIATE JUSTICE,ONE PEMBERTON SQUARE,FEB/01/2015,NA,NA,NA,NA,NA,NA,2014
23,CYNTHIA J. COHEN,MASS APPEALS COURT,ASSOCIATE JUSTICE,ONE PEMBERTON SQUARE,FEB/01/2015,NA,NA,NA,NA,NA,NA,2014
24,CYNTHIA J. COHEN,MASS APPEALS COURT,ASSOCIATE JUSTICE,ONE PEMBERTON SQUARE,FEB/01/2015,NA,NA,NA,NA,NA,NA,2014
25,CYNTHIA J. COHEN,MASS APPEALS COURT,ASSOCIATE JUSTICE,ONE PEMBERTON SQUARE,FEB/01/2015,NA,NA,NA,NA,NA,NA,2014
26,ELSPETH B. CYPHER,MASS APPEALS COURT,ASSOCIATE JUSTICE,ONE PEMBERTON SQUARE,APR/15/2015,20347.64,JUN/30/2014,NA,BOOK ROYALTY,THOMSON RUWTERS,20347.64,2014
27,FRANCIS R. FECTEAU,MASS APPEALS COURT,ASSOCIATE JUSTICE,ONE PEMBERTON SQUARE,FEB/06/2015,NA,NA,NA,NA,NA,NA,2014
28,ROBERT M. GRAHAM,MASS APPEALS COURT,ASSOCIATE JUSTICE,ONE PEMBERTON SQUARE,MAR/10/2015,1000,NOV/14/2014,BOSTON TD GARDEN,PAID APPEARANCE,BOSTON CELTICS,1000,2014
29,ANDREW GRAINGER,MASS APPEALS COURT,ASSOCIATE JUSTICE,ONE PEMBERTON SQUARE,FEB/03/2015,NA,NA,NA,NA,NA,NA,2014
30,ANDREW GRAINGER,MASS APPEALS COURT,ASSOCIATE JUSTICE,ONE PEMBERTON SQUARE,FEB/03/2015,NA,NA,NA,NA,NA,NA,2014
31,"JOSEPH A. GRASSO, JR.",MASS APPEALS COURT,JUSTICE,ONE PEMBERTON SQUARE,MAR/12/2015,27373,JAN-DEC,"CONCORD, MA",WRITING TEXTBOOK,LEXIS/MATTEW BENDER,18973,2014
32,"JOSEPH A. GRASSO, JR.",MASS APPEALS COURT,JUSTICE,ONE PEMBERTON SQUARE,MAR/12/2015,NA,SEPT-DEC,"BOSTON, MA",TEACHING,SUFFOLK UNIV.,8400,2014
33,MARK V. GREEN,MASS APPEALS COURT,ASSOCIATE JUSTICE,ONE PEMBERTON SQUARE,MAR/31/2015,NA,NA,NA,NA,NA,NA,2014
34,SYDNEY HANLON,MASS APPEALS COURT,ASSOCIATE JUSTICE,ONE PEMBERTON SQUARE,APR/15/2015,18575,AUG-DEC/2014,BOSTON,TEACHING,NEW ENGLAND LAW SCHOOL,4800,2014
35,SYDNEY HANLON,MASS APPEALS COURT,ASSOCIATE JUSTICE,ONE PEMBERTON SQUARE,APR/15/2015,NA,FEB-MAR/2014,BROOKLINE,ROOM RENTING,LILI CHARLOTTE LEFEBRE,1400,2014
36,SYDNEY HANLON,MASS APPEALS COURT,ASSOCIATE JUSTICE,ONE PEMBERTON SQUARE,APR/15/2015,NA,JAN-MAY,BROOKLINE,ROOM RENTING,ARYAN FOTROS,2900,2014
37,SYDNEY HANLON,MASS APPEALS COURT,ASSOCIATE JUSTICE,ONE PEMBERTON SQUARE,APR/15/2015,NA,MAY-JUN,BROOKLINE,ROOM RENTING,SZYMON FEDOR,1400,2014
38,SYDNEY HANLON,MASS APPEALS COURT,ASSOCIATE JUSTICE,ONE PEMBERTON SQUARE,APR/15/2015,NA,JUN-JUL,BROOKLINE,ROOM RENTING,CHRISTOPHER JOHNS,1500,2014
39,SYDNEY HANLON,MASS APPEALS COURT,ASSOCIATE JUSTICE,ONE PEMBERTON SQUARE,APR/15/2015,NA,AUG-DEC,BROOKLINE,ROOM RENTING,ERIN FLYNN,3875,2014
40,SYDNEY HANLON,MASS APPEALS COURT,ASSOCIATE JUSTICE,ONE PEMBERTON SQUARE,APR/15/2015,NA,SEP-DEC,BROOKLINE,ROOM RENTING,THOMAS GREGOIRE,2700,2014
41,SCOTT KAFKER,MASS APPEALS COURT,ASSOCIATE JUSTICE,ONE PEMBERTON SQUARE,APR/14/2014,5500,JAN-MAY,BOSTON COLLEGE LAW SCHOOL,TEACHING,BOSTON COLLEGE,5500,2014
42,SCOTT KAFKER,MASS APPEALS COURT,ASSOCIATE JUSTICE,ONE PEMBERTON SQUARE,APR/14/2014,NA,NA,NA,NA,NA,NA,2014
43,SCOTT KAFKER,MASS APPEALS COURT,ASSOCIATE JUSTICE,ONE PEMBERTON SQUARE,APR/14/2014,NA,NA,NA,NA,NA,NA,2014
44,R. MARC KANTRWITZ,MASS APPEALS COURT,ASSOCIATE JUSTICE,ONE PEMBERTON SQUARE,MAR/23/2015,11802.51,NA,NA,ROYALTY,WEST,969.19,2014
45,R. MARC KANTRWITZ,MASS APPEALS COURT,ASSOCIATE JUSTICE,ONE PEMBERTON SQUARE,MAR/23/2015,NA,NA,NA,TEACHING,NORTHEASTERN SCHOOL OF LAW,10833.32,2014
