"","NAME","COURT","JUDICIAL POSITION","COURT ADDRESS","SIGNED DATE","FIDUCIARY OFFICE OR POSITION TYPE OF POSITION","FIDUCIARY OFFICE OR POSITION FAMILIAL RELATIONSHIP","FIDUCIARY OFFICE OR POSITION DATES HELD","year"
"1","MARGOT BOTSFORD","SUPREME JUDICIAL COURT","ASSOCIATE JUSTICE","ONE PEMBERTON SQUARE","FEB/13/2015",NA,NA,NA,2014
"2","ROBERT CORDN","SUPREME JUDICIAL COURT","JUSTICE","ONE PEMBERTON SQUARE","MAR/24/2015",NA,NA,NA,2014
"3","ROBERT CORDN","SUPREME JUDICIAL COURT","JUSTICE","ONE PEMBERTON SQUARE","MAR/24/2015",NA,NA,NA,2014
"4","FERNANDE RV DUFFLY","SUPREME JUDICIAL COURT","ASSOCIATE JUSTICE","ONE PEMBERTON SQUARE","MAR/03/2015",NA,NA,NA,2014
"5","RALPH D. GRANT","SUPREME JUDICIAL COURT","CHIEF JUSTICE","ONE PEMBERTON SQUARE","MAR/27/2015","TRUSTEE AND EXCUTOR","EATATE OF MOTHER","12/25/2012 - PRESENT",2014
"6","RALPH D. GRANT","SUPREME JUDICIAL COURT","CHIEF JUSTICE","ONE PEMBERTON SQUARE","MAR/27/2015",NA,NA,NA,2014
"7","GERALDINE S. HINES","SUPREME JUDICIAL COURT","ASSOCIATE JUSTICE","ONE PEMBERTON SQUARE","MAR/27/2015",NA,NA,NA,2014
"8","RODERICK L. IRELAND","SUPREME JUDICIAL COURT","CHIEF JUSTICE","ONE PEMBERTON SQUARE","FEB/01/2015",NA,NA,NA,2014
"9","RODERICK L. IRELAND","SUPREME JUDICIAL COURT","CHIEF JUSTICE","ONE PEMBERTON SQUARE","FEB/01/2015",NA,NA,NA,2014
"10","BARBARA A. LENN","SUPREME JUDICIAL COURT","ASSOCIATE JUSTICE","ONE PEMBERTON SQUARE","APR/14/2015","CO-TRUSTEE OF CHILDREN'S FUND","DAUGHTERS","1994 - PRESENT",2014
"11","FRANCIS X. SPINA","SUPREME JUDICIAL COURT","ASSOCIATE JUSTICE","ONE PEMBERTON SQUARE","FEB/02/2015","TRUSTEE, PETER A. SPINA","BROTHER","08/09/2010 - PRESENT",2014
"12","PETER W. AGNES JR.","MASS APPEALS COURT","ASSOCIATE JUSTICE","ONE PEMBERTON SQUARE","MAR/10/2015","REVOCABLE TRUST (UNCOMPENSATED)","(DECEASED - 04/03/2010)",NA,2014
"13","JANICE M. BENNY","MASS APPEALS COURT","ASSOCIATE JUSTICE","ONE PEMBERTON SQUARE","APR/14/2015",NA,NA,NA,2014
"14","JANICE M. BENNY","MASS APPEALS COURT","ASSOCIATE JUSTICE","ONE PEMBERTON SQUARE","APR/14/2015",NA,NA,NA,2014
"15","JANICE M. BENNY","MASS APPEALS COURT","ASSOCIATE JUSTICE","ONE PEMBERTON SQUARE","APR/14/2015",NA,NA,NA,2014
"16","JANICE M. BENNY","MASS APPEALS COURT","ASSOCIATE JUSTICE","ONE PEMBERTON SQUARE","APR/14/2015",NA,NA,NA,2014
"17","JANICE M. BENNY","MASS APPEALS COURT","ASSOCIATE JUSTICE","ONE PEMBERTON SQUARE","APR/14/2015",NA,NA,NA,2014
"18","AMY LYN BLAKE","MASS APPEALS COURT","ASSOCIATE JUSTICE","ONE PEMBERTON SQUARE","FEB/04/2015",NA,NA,NA,2014
